id_transecto,transecto,site,elev,year,abundancia,long_total,den
16_20,Purche,PU,1442,2020,1018,220.64,4.613850616388688
16_21,Matas Verdes,MV,1919,2012,1634,187.04,8.736099230111206
16_21,Matas Verdes,MV,1919,2013,2124,347.36,6.114693689543989
16_21,Matas Verdes,MV,1919,2014,1594,267.2,5.9655688622754495
16_21,Matas Verdes,MV,1919,2015,660,187.04,3.5286569717707446
16_21,Matas Verdes,MV,1919,2016,1114,240.48,4.632401862940785
16_21,Matas Verdes,MV,1919,2017,1207,240.48,5.019128409846973
16_21,Matas Verdes,MV,1919,2019,852,240.48,3.5429141716566868
16_21,Matas Verdes,MV,1919,2020,1033,240.48,4.295575515635396
16_23,Robledal de Dilar,DI,1720,2012,1473,190.75,7.722149410222805
16_23,Robledal de Dilar,DI,1720,2013,1955,272.5,7.174311926605505
16_23,Robledal de Dilar,DI,1720,2014,2017,272.5,7.401834862385321
16_23,Robledal de Dilar,DI,1720,2015,851,190.75,4.461336828309306
16_23,Robledal de Dilar,DI,1720,2016,1148,272.5,4.2128440366972475
16_23,Robledal de Dilar,DI,1720,2017,1431,245.25,5.834862385321101
16_23,Robledal de Dilar,DI,1720,2019,1396,272.5,5.122935779816514
16_23,Robledal de Dilar,DI,1720,2020,948,218,4.348623853211009
16_24,Campos de Otero,CO,2248,2012,559,209.44,2.669022154316272
16_24,Campos de Otero,CO,2248,2013,1939,299.2,6.480614973262032
16_24,Campos de Otero,CO,2248,2014,1155,269.28,4.2892156862745106
16_24,Campos de Otero,CO,2248,2015,799,179.52,4.450757575757575
16_24,Campos de Otero,CO,2248,2016,983,209.44,4.693468296409473
16_24,Campos de Otero,CO,2248,2017,1108,239.36,4.629010695187166
16_24,Campos de Otero,CO,2248,2019,780,269.28,2.896613190730838
16_24,Campos de Otero,CO,2248,2020,566,239.36,2.3646390374331547
16_32,Fabriquilla,FA,992,2012,31,24.9,1.244979919678715
16_32,Fabriquilla,FA,992,2013,186,58.1,3.201376936316695
16_32,Fabriquilla,FA,992,2014,88,41.5,2.1204819277108435
16_32,Fabriquilla,FA,992,2015,20,8.3,2.4096385542168672
16_32,Fabriquilla,FA,992,2016,105,37.35,2.8112449799196786
16_32,Fabriquilla,FA,992,2017,130,37.35,3.480589022757697
16_32,Fabriquilla,FA,992,2019,79,33.2,2.3795180722891565
16_32,Fabriquilla,FA,992,2020,69,33.2,2.078313253012048
16_33,Barranco de San Juan,BSJ,1362,2012,126,27.18,4.635761589403973
16_33,Barranco de San Juan,BSJ,1362,2013,375,67.95,5.518763796909492
16_33,Barranco de San Juan,BSJ,1362,2014,365,49.83,7.324904675898054
16_33,Barranco de San Juan,BSJ,1362,2015,94,31.71,2.9643645537685273
16_33,Barranco de San Juan,BSJ,1362,2016,163,40.77,3.99803777287221
16_33,Barranco de San Juan,BSJ,1362,2017,292,40.77,7.162129016433652
16_33,Barranco de San Juan,BSJ,1362,2019,189,40.77,4.635761589403973
16_33,Barranco de San Juan,BSJ,1362,2020,288,36.24,7.947019867549669
16_34,Catifas,CAT,1666,2012,123,28.98,4.244306418219462
16_34,Catifas,CAT,1666,2013,288,72.45,3.9751552795031055
16_34,Catifas,CAT,1666,2014,187,57.96,3.2263630089717044
16_34,Catifas,CAT,1666,2015,113,33.81,3.3422064477965097
16_34,Catifas,CAT,1666,2016,190,43.47,4.37083045778698
16_34,Catifas,CAT,1666,2017,272,48.3,5.6314699792960665
16_34,Catifas,CAT,1666,2019,170,43.47,3.910743041177824
16_34,Catifas,CAT,1666,2020,182,38.64,4.7101449275362315
16_35,Praillos,PRA,1894,2012,53,21.96,2.413479052823315
16_35,Praillos,PRA,1894,2013,231,51.24,4.508196721311475
16_35,Praillos,PRA,1894,2014,218,40.26,5.4148037754595135
16_35,Praillos,PRA,1894,2015,83,21.96,3.77959927140255
16_35,Praillos,PRA,1894,2016,163,32.94,4.948391013964785
16_35,Praillos,PRA,1894,2017,215,32.94,6.52701882210079
16_35,Praillos,PRA,1894,2019,124,32.94,3.764420157862781
16_35,Praillos,PRA,1894,2020,161,29.28,5.498633879781421
16_36,Sabinas,SA,2180,2012,43,14.45,2.975778546712803
16_36,Sabinas,SA,2180,2013,127,43.35,2.9296424452133794
16_36,Sabinas,SA,2180,2014,92,31.79,2.8939918213274614
16_36,Sabinas,SA,2180,2015,69,11.56,5.968858131487889
16_36,Sabinas,SA,2180,2016,22,26.01,0.845828527489427
16_36,Sabinas,SA,2180,2017,72,26.01,2.7681660899653977
16_36,Sabinas,SA,2180,2019,106,26.01,4.075355632449058
16_36,Sabinas,SA,2180,2020,77,20.23,3.8062283737024223
16_37,Cauchiles,CAU,3203,2012,12,24.96,0.4807692307692307
16_37,Cauchiles,CAU,3203,2013,26,43.68,0.5952380952380952
16_37,Cauchiles,CAU,3203,2014,24,31.2,0.7692307692307693
16_37,Cauchiles,CAU,3203,2015,43,12.48,3.4455128205128203
16_37,Cauchiles,CAU,3203,2016,48,31.2,1.5384615384615385
16_37,Cauchiles,CAU,3203,2017,44,43.68,1.0073260073260073
16_37,Cauchiles,CAU,3203,2019,24,37.44,0.6410256410256411
16_37,Cauchiles,CAU,3203,2020,4,31.2,0.12820512820512822
16_38,Carihuela,CAR,2808,2012,11,11.61,0.9474590869939707
