id_transect,transect,site
16_14,Laguna Seca,LS
16_16,Borreguiles San Juan,BOSJ
16_17,Loma de Papeles Alto,PA
16_15,Altas cumbres,AC
16_20,Purche,PU
16_24,Campos de Otero,CO
16_23,Robledal de Dilar,DI
16_18,Loma de Papeles Bajo,PB
16_21,Matas Verdes,MV
16_45,Dúrcal,DU
16_49,Turbera,TU
16_46,Laguna,LP
16_33,Barranco de San Juan,BSJ
16_34,Catifas,CAT
16_35,Praillos,PRA
16_36,Sabinas,SA
16_39,Hoya de la Mora,HM
16_37,Cauchiles,CAU
16_38,Carihuela,CAR
16_32,Fabriquilla,FA
16_48,Pitres,PI
