Id_transect,year,p_anu_year,p_pri_year,p_ver_year,p_oto_year,p_inv_year,t_pri_year,t_ver_year,t_oto_year,t_inv_year,t_anual
16_15,2008,519.2557081148987,126.217152,62.963712,207.76682399999999,122.30802011489868,5.863207,15.978002,-2.356628,-0.900559,5.863207
16_15,2009,747.864816,52.610361,38.815056,364.56811500000003,291.871284,8.129567,15.962814999999999,6.462766,-4.01148,8.129567
16_15,2010,1266.443151,77.828706,56.090001,521.287674,611.23677,5.39983,16.234953,0.26412599999999997,-4.478573,5.39983
16_15,2011,520.210167,171.89853300000001,3.1140630000000002,170.594112,174.603459,7.279419,16.586777,0.9348179999999999,-3.728448,7.279419
16_15,2012,616.168305,99.52902599999999,79.466406,376.82721000000004,60.345662999999995,8.536735,18.295748,-0.017166999999999998,-2.496849,8.536735
16_15,2013,396.35719499999993,62.798625,70.855803,67.726959,194.97580799999997,4.25485,9.836261,-2.692909,-6.786304,4.25485
16_15,2014,358.96011599999997,62.735640000000004,17.985759,148.527135,129.71158200000002,3.391165,9.961646,-0.362577,-5.103404,3.391165
16_15,2015,381.370005,62.00013,53.782830000000004,122.71764000000002,142.869405,1.944326,8.800999000000001,-0.439146,-8.172524,1.944326
16_15,2016,435.94162500000004,113.77572900000001,6.601878000000001,223.84266000000002,91.721358,7.458496,16.139931,0.692943,-2.147173,7.458496
16_15,2017,287.982702,31.595934,16.032536999999998,142.01638499999999,98.33784600000001,10.53516,17.357796,2.326817,-2.609288,10.53516
16_15,2018,665.1548547744751,82.73837661743164,51.53415966033936,142.6466655731201,388.235652923584,5.0258666918827934,15.398676467664309,1.357344272800467,-5.214750612624968,5.0258666918827934
16_15,2019,283.5696933202515,82.74711894989014,32.683509349823,125.495651,42.64341402053833,8.085036369285199,15.59510834507211,1.1450020812018211,-0.7167575798033281,8.085036369285199
16_15,2020,363.06280000000004,96.800003,31.699999,118.74247,115.820328,6.628342,16.146725,1.152965,-0.147052,6.628342
16_38,2008,504.441975,115.679547,62.657712000000004,205.44719700000002,120.657519,5.193987,15.536536,-2.615827,-1.383398,5.193987
16_38,2009,721.3313519999999,54.23916,41.177412000000004,344.746194,281.168586,7.590389,15.65379,5.993095,-4.350472,7.590389
16_38,2010,1185.4849920000001,82.413138,57.13258499999999,468.082581,577.8566880000001,4.747729,15.950711,-0.383345,-4.85702,4.747729
16_38,2011,510.918672,170.776647,2.959161,169.372251,167.810613,6.81778,16.05163,0.533975,-4.14919,6.81778
16_38,2012,620.353998,99.226077,79.154298,381.007416,60.966207,7.83257,17.908842,-0.443445,-2.930509,7.83257
16_38,2013,383.658801,64.37581499999999,60.466563,64.490433,194.32599,3.513189,9.245326,-3.381778,-7.580896,3.513189
16_38,2014,359.692812,63.127767,18.00372,146.15812799999998,132.403197,2.52416,9.496181,-1.066324,-5.989866,2.52416
16_38,2015,381.41797800000006,62.055537,55.261298999999994,121.666842,142.4343,1.19499,8.186281,-0.818592,-8.900862,1.19499
16_38,2016,434.23092299999996,114.107058,6.646005000000001,220.865844,92.612016,7.236751,15.520035,0.818861,-1.8580169999999998,7.236751
16_38,2017,292.239192,31.217568,15.558281999999998,146.21568,99.247662,9.987998,16.965748,1.7414290000000001,-2.403169,9.987998
16_38,2018,664.8750607705078,80.77434539794922,50.43920135498047,147.075546,386.5859680175781,4.752368450164795,14.837967,0.7649790197610855,-5.946920951207479,4.752368450164795
16_38,2019,280.77930200000003,80.097969,30.96829,125.166168,44.546875,7.410933,14.954982,0.24201799999999998,-1.4232019999999999,7.410933
16_38,2020,372.967962,97.400009,30.851538,128.5289,116.187515,5.9958,15.828975,0.5133869999999999,-1.258695,5.9958
16_37,2008,512.338599,132.771228,53.889998999999996,209.40927900000003,116.268093,7.322803,17.076059,-0.77776,0.463346,7.322803
16_37,2009,713.8276290000001,64.778166,38.946159,322.72210800000005,287.38119600000005,9.268167,17.014938,9.28396,-2.452677,9.268167
16_37,2010,1152.058836,76.95362700000001,56.472411,458.048448,560.58435,6.813713,17.393997,1.708895,-2.813033,6.813713
