"","model","(Intercept)","DS_ARBOL","elev","FR_MATDE","HIDRO_ITH","TP_RSD_P","TP_RSH_V","df","logLik","BIC","delta","weight"
"fdiv1",div ~ 1 + elev + FR_MATDE + HIDRO_ITH + DS_ARBOL,4.02213474179872,-0.000225086692563915,-0.000191071976500581,0.0204565529295132,-0.182097204437445,NA,NA,6,-74.362606923159,178.985764547833,0,0.368060681413925
"fdiv2",div ~ 1 + FR_MATDE + HIDRO_ITH + DS_ARBOL,3.35040340558967,-0.000267359735806755,NA,0.0199949232873123,-0.132307230199732,NA,NA,5,-77.0886366981546,179.394398980905,0.40863443307191,0.300044441850351
"fdiv3",div ~ 1 + FR_MATDE + HIDRO_ITH + TP_RSD_P + DS_ARBOL,3.71120900764619,-0.000254711103171857,NA,0.0188265282554024,-0.12989470874061,-7.54022846473226e-05,NA,6,-74.9144398166808,180.089430334877,1.10366578704364,0.211963677235934
"fdiv4",div ~ 1 + elev + FR_MATDE + TP_RSH_V + HIDRO_ITH + DS_ARBOL,3.10704291529953,-0.000207470255061934,-0.000215741098238471,0.0221818065662995,-0.192860602854298,NA,0.0780547693667993,7,-73.6063176092874,182.516611037009,3.53084648917599,0.062980463500552
"fdiv5",div ~ 1 + elev + FR_MATDE + HIDRO_ITH + TP_RSD_P + DS_ARBOL,4.07187424869912,-0.000228117166173401,-0.000142354214297275,0.0196231509325469,-0.167924428997647,-4.61876417881777e-05,NA,7,-73.7069555710076,182.71788696045,3.73212241261646,0.0569507359992388
