"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","3.7419 (0.1920)","19.4891","<0.001"
"2","FR_MATDE","0.0242 (0.0028)","8.5998","<0.001"
"3","HIDRO_ITH","-0.1417 (0.0212)","-6.6774","<0.001"
"4","TP_ES_OE","-0.0081 (0.0019)","-4.2891","<0.001"
"5","DS_ARBOL","-0.0002 (0.0000)","-10.6152","<0.001"
"6","DegreeFreedom","150","",""
"7","AIC","148","",""
"8","BIC","167","",""
"9","DevianceExplained","0.737","",""
