"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","0.6159 (0.2048)","3.0067","0.003"
"2","FR_MATDE","0.0243 (0.0032)","7.5854","<0.001"
"3","HIDRO_ITH","0.0802 (0.0256)","3.1338","0.002"
"4","DS_ARBOL","-0.0003 (0.0000)","-12.8372","<0.001"
"5","DegreeFreedom","152","",""
"6","AIC","512","",""
"7","BIC","527","",""
"8","DevianceExplained","0.664","",""
