"","model","(Intercept)","elev","FR_MATDE","HIDRO_ITH","TP_EXPO","TP_RSD_P","TP_RSH_V","DS_ARBOL","df","logLik","BIC","delta","weight"
"friq1",riq ~ 1 + elev + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_RSD_P + TP_EXPO,-48.5462247210762,-0.00728406745761695,0.956977416754594,-4.36518457139304,-0.088352168660761,0.00214407515036324,8.02577330131109,NA,8,-510.715370829795,1061.82958971759,0,0.599922852019346
"friq2",riq ~ 1 + elev + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_RSD_P + TP_EXPO + DS_ARBOL,-37.0944580649781,-0.00641033579927233,0.938667219438284,-3.68232183956915,-0.0644817960094424,NA,7.41744518397165,NA,7,-514.428727492053,1064.20644703485,2.3768573172681,0.18279629821449
"friq3",riq ~ 1 + elev + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_RSD_P + TP_EXPO + DS_ARBOL,-38.9388534584204,-0.00608928915665136,0.919736083497572,-3.95853072592054,-0.0815160839250471,0.00197387520835535,7.02141177020726,-0.000751323525879832,9,-509.659751024481,1064.76820611421,2.93861639662282,0.138033011272466
"friq4",riq ~ 1 + elev + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_EXPO + DS_ARBOL,-26.1419440402364,-0.00499325865437447,0.893604819656735,-3.2385366277551,-0.0582600418593583,NA,6.21360402676383,-0.000946031926270847,8,-512.790319093713,1065.97948624542,4.14989652783743,0.0753280671492737
"friq5",riq ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_EXPO + DS_ARBOL,-44.4609832000668,NA,0.867514371330429,-2.2189182897601,-0.0769414227522074,NA,6.47325067766695,-0.00186671687723238,7,-518.271066578804,1071.89112520835,10.0615354907684,0.00391977134442432
