diversidad,year,transecto,longitud,min_altitu,max_altitu,id_transecto,site,elev
0.6863867393223924,2012,Altas cumbres,3209,3081,3170,16_15,AC,3126
2.8676693241396913,2012,Barranco de San Juan,453,1347,1377,16_33,BSJ,1362
2.4011179373159632,2012,Borreguiles San Juan,2533,2527,2563,16_16,BOSJ,2545
2.678181541617177,2012,Campos de Otero,2992,2178,2317,16_24,CO,2248
0.6001660731596457,2012,Carihuela,387,2792,2824,16_38,CAR,2808
2.3929095563266336,2012,Catifas,483,1658,1673,16_34,CAT,1666
1.9792045174343245,2012,Cauchiles,624,3196,3210,16_37,CAU,3203
NA,2012,Dúrcal,3563,1913,1987,16_45,DU,1950
2.578439985141849,2012,Fabriquilla,415,971,1013,16_32,FA,992
1.04354790710119,2012,Hoya de la Mora,433,2524,2540,16_39,HM,2532
NA,2012,Laguna,500,726,739,16_46,LP,732
1.8048977894309577,2012,Laguna Seca,3044,2257,2306,16_14,LS,2282
2.155634680269185,2012,Loma de Papeles Alto,3068,2338,2463,16_17,PA,2400
2.642321516396103,2012,Loma de Papeles Bajo,2743,2052,2190,16_18,PB,2121
2.1666545713074545,2012,Matas Verdes,2672,1851,1987,16_21,MV,1919
NA,2012,Pitres,2671,1283,1475,16_48,PI,1379
2.4871903134361104,2012,Praillos,366,1887,1900,16_35,PRA,1894
2.7029524750528076,2012,Purche,2758,1387,1496,16_20,PU,1442
2.2571882906523473,2012,Robledal de Dilar,2725,1673,1767,16_23,DI,1720
2.3559947121903133,2012,Sabinas,289,2177,2184,16_36,SA,2180
NA,2012,Turbera,2754,723,767,16_49,TU,745
0.2562062895402442,2013,Altas cumbres,3209,3081,3170,16_15,AC,3126
2.8000796375153065,2013,Barranco de San Juan,453,1347,1377,16_33,BSJ,1362
2.6305644750634,2013,Borreguiles San Juan,2533,2527,2563,16_16,BOSJ,2545
2.48773092949183,2013,Campos de Otero,2992,2178,2317,16_24,CO,2248
0.7595473914748635,2013,Carihuela,387,2792,2824,16_38,CAR,2808
2.9224368192531878,2013,Catifas,483,1658,1673,16_34,CAT,1666
1.7973158472230857,2013,Cauchiles,624,3196,3210,16_37,CAU,3203
NA,2013,Dúrcal,3563,1913,1987,16_45,DU,1950
2.4737871164049645,2013,Fabriquilla,415,971,1013,16_32,FA,992
2.155806943898599,2013,Hoya de la Mora,433,2524,2540,16_39,HM,2532
NA,2013,Laguna,500,726,739,16_46,LP,732
1.6019032238627895,2013,Laguna Seca,3044,2257,2306,16_14,LS,2282
1.9402938398672032,2013,Loma de Papeles Alto,3068,2338,2463,16_17,PA,2400
2.615667873099959,2013,Loma de Papeles Bajo,2743,2052,2190,16_18,PB,2121
2.706661553202392,2013,Matas Verdes,2672,1851,1987,16_21,MV,1919
NA,2013,Pitres,2671,1283,1475,16_48,PI,1379
3.011157061380932,2013,Praillos,366,1887,1900,16_35,PRA,1894
2.596572919770695,2013,Purche,2758,1387,1496,16_20,PU,1442
2.496414506661779,2013,Robledal de Dilar,2725,1673,1767,16_23,DI,1720
2.5672705057005683,2013,Sabinas,289,2177,2184,16_36,SA,2180
NA,2013,Turbera,2754,723,767,16_49,TU,745
0.5399569949473593,2014,Altas cumbres,3209,3081,3170,16_15,AC,3126
2.801913414661108,2014,Barranco de San Juan,453,1347,1377,16_33,BSJ,1362
2.4993694381378893,2014,Borreguiles San Juan,2533,2527,2563,16_16,BOSJ,2545
2.501360536455257,2014,Campos de Otero,2992,2178,2317,16_24,CO,2248
0.45056120886630463,2014,Carihuela,387,2792,2824,16_38,CAR,2808
2.7150872170163294,2014,Catifas,483,1658,1673,16_34,CAT,1666
0.9799831636161058,2014,Cauchiles,624,3196,3210,16_37,CAU,3203
2.964404985277761,2014,Dúrcal,3563,1913,1987,16_45,DU,1950
2.56684741453344,2014,Fabriquilla,415,971,1013,16_32,FA,992
2.2633470266195346,2014,Hoya de la Mora,433,2524,2540,16_39,HM,2532
1.7302758579105455,2014,Laguna,500,726,739,16_46,LP,732
1.5764222973815167,2014,Laguna Seca,3044,2257,2306,16_14,LS,2282
2.0602802917091902,2014,Loma de Papeles Alto,3068,2338,2463,16_17,PA,2400
2.4501666187990137,2014,Loma de Papeles Bajo,2743,2052,2190,16_18,PB,2121
2.7283029909024727,2014,Matas Verdes,2672,1851,1987,16_21,MV,1919
2.8247631701696094,2014,Pitres,2671,1283,1475,16_48,PI,1379
3.1956037148306895,2014,Praillos,366,1887,1900,16_35,PRA,1894
2.8406547636100847,2014,Purche,2758,1387,1496,16_20,PU,1442
2.7089986965704163,2014,Robledal de Dilar,2725,1673,1767,16_23,DI,1720
2.5552066651028245,2014,Sabinas,289,2177,2184,16_36,SA,2180
1.5597218452277812,2014,Turbera,2754,723,767,16_49,TU,745
1.0043688496312275,2015,Altas cumbres,3209,3081,3170,16_15,AC,3126
3.040517455890316,2015,Barranco de San Juan,453,1347,1377,16_33,BSJ,1362
2.3949694436378732,2015,Borreguiles San Juan,2533,2527,2563,16_16,BOSJ,2545
2.639487809538827,2015,Campos de Otero,2992,2178,2317,16_24,CO,2248
NA,2015,Carihuela,387,2792,2824,16_38,CAR,2808
3.0127396432414053,2015,Catifas,483,1658,1673,16_34,CAT,1666
0.7640616527317856,2015,Cauchiles,624,3196,3210,16_37,CAU,3203
3.2093669465989794,2015,Dúrcal,3563,1913,1987,16_45,DU,1950
2.1910133173369406,2015,Fabriquilla,415,971,1013,16_32,FA,992
1.8814851845441771,2015,Hoya de la Mora,433,2524,2540,16_39,HM,2532
1.2463254863888542,2015,Laguna,500,726,739,16_46,LP,732
