ID Visita;Fecha inicio;Fecha fin;ID Transecto;Transecto;ID Especie;Nombre científico;Total
2;2008-07-09 11:00:00;2008-07-09 12:45:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);104
2;2008-07-09 11:00:00;2008-07-09 12:45:00;16_14;Laguna Seca;46344;Erebia hispania Butler, 1868;1
2;2008-07-09 11:00:00;2008-07-09 12:45:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);74
3;2008-07-08 11:45:00;2008-07-08 13:30:00;16_16;Borreguiles San Juan;33089;Parnassius apollo (Linnaeus, 1758);7
3;2008-07-08 11:45:00;2008-07-08 13:30:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);12
3;2008-07-08 11:45:00;2008-07-08 13:30:00;16_16;Borreguiles San Juan;46344;Erebia hispania Butler, 1868;1
3;2008-07-08 11:45:00;2008-07-08 13:30:00;16_16;Borreguiles San Juan;87249;Plebejus idas (Linnaeus, 1760);1
4;2008-07-08 18:20:00;2008-07-08 19:30:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);6
4;2008-07-08 18:20:00;2008-07-08 19:30:00;16_17;Loma de Papeles Alto;46344;Erebia hispania Butler, 1868;1
4;2008-07-08 18:20:00;2008-07-08 19:30:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);1
4;2008-07-08 18:20:00;2008-07-08 19:30:00;16_17;Loma de Papeles Alto;87249;Plebejus idas (Linnaeus, 1760);1
6;2008-07-17 10:10:00;2008-07-17 12:45:00;16_16;Borreguiles San Juan;33089;Parnassius apollo (Linnaeus, 1758);7
6;2008-07-17 10:10:00;2008-07-17 12:45:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);37
6;2008-07-17 10:10:00;2008-07-17 12:45:00;16_16;Borreguiles San Juan;46344;Erebia hispania Butler, 1868;71
6;2008-07-17 10:10:00;2008-07-17 12:45:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);1
7;2008-07-17 10:40:00;2008-07-17 11:20:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);46
7;2008-07-17 10:40:00;2008-07-17 11:20:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);69
9;2008-07-21 10:15:00;2008-07-21 11:30:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);5
9;2008-07-21 10:15:00;2008-07-21 11:30:00;16_16;Borreguiles San Juan;46344;Erebia hispania Butler, 1868;45
10;2008-07-22 11:15:00;2008-07-22 12:30:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);18
10;2008-07-22 11:15:00;2008-07-22 12:30:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);30
11;2008-07-23 11:00:00;2008-07-23 12:00:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);8
11;2008-07-23 11:00:00;2008-07-23 12:00:00;16_17;Loma de Papeles Alto;46344;Erebia hispania Butler, 1868;4
11;2008-07-23 11:00:00;2008-07-23 12:00:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);7
11;2008-07-23 11:00:00;2008-07-23 12:00:00;16_17;Loma de Papeles Alto;87249;Plebejus idas (Linnaeus, 1760);5
13;2008-07-28 10:25:00;2008-07-28 11:25:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);1
13;2008-07-28 10:25:00;2008-07-28 11:25:00;16_16;Borreguiles San Juan;46344;Erebia hispania Butler, 1868;28
13;2008-07-28 10:25:00;2008-07-28 11:25:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);12
14;2008-07-30 11:30:00;2008-07-30 12:19:59;16_15;Altas cumbres;46344;Erebia hispania Butler, 1868;1
15;2008-07-31 10:45:00;2008-07-31 11:45:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);50
15;2008-07-31 10:45:00;2008-07-31 11:45:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);1
16;2008-07-31 10:30:00;2008-07-31 12:00:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);56
16;2008-07-31 10:30:00;2008-07-31 12:00:00;16_17;Loma de Papeles Alto;87249;Plebejus idas (Linnaeus, 1760);1
17;2008-08-05 10:40:00;2008-08-05 11:40:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);100
19;2008-08-07 10:20:00;2008-08-07 11:10:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);19
20;2008-08-08 09:45:00;2008-08-08 10:45:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);52
22;2008-08-14 11:40:00;2008-08-14 12:40:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);123
23;2008-08-18 10:05:00;2008-08-18 11:10:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);21
24;2008-08-19 10:25:00;2008-08-19 11:30:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);18
25;2009-06-17 10:40:00;2009-06-17 11:40:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);13
26;2009-06-18 10:00:00;2009-06-18 11:00:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);1
27;2009-06-24 10:40:00;2009-06-24 11:55:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);1
28;2009-06-30 10:40:00;2009-06-30 11:35:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);14
29;2009-07-10 11:20:00;2009-07-10 12:15:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);11
29;2009-07-10 11:20:00;2009-07-10 12:15:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);2
30;2009-07-17 10:00:00;2009-07-17 11:00:00;16_17;Loma de Papeles Alto;33089;Parnassius apollo (Linnaeus, 1758);4
30;2009-07-17 10:00:00;2009-07-17 11:00:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);4
30;2009-07-17 10:00:00;2009-07-17 11:00:00;16_17;Loma de Papeles Alto;91489;Pseudochazara mercurius (Staudinger, 1887);1
31;2009-07-31 11:20:00;2009-07-31 12:19:59;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);64
33;2009-07-16 11:00:00;2009-07-16 11:45:00;16_15;Altas cumbres;33625;Polyommatus golgus (Hübner, 1813);1
34;2009-07-30 10:20:00;2009-07-30 11:20:00;16_15;Altas cumbres;46344;Erebia hispania Butler, 1868;1
34;2009-07-30 10:20:00;2009-07-30 11:20:00;16_15;Altas cumbres;81689;Satyrus actaea (Esper, 1781);1
37;2009-07-01 10:20:00;2009-07-01 11:43:00;16_16;Borreguiles San Juan;33089;Parnassius apollo (Linnaeus, 1758);1
37;2009-07-01 10:20:00;2009-07-01 11:43:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);4
38;2009-07-09 10:20:00;2009-07-09 11:40:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);15
38;2009-07-09 10:20:00;2009-07-09 11:40:00;16_16;Borreguiles San Juan;87323;Plebejus argus (Linnaeus, 1758);2
38;2009-07-09 10:20:00;2009-07-09 11:40:00;16_16;Borreguiles San Juan;91489;Pseudochazara mercurius (Staudinger, 1887);1
39;2009-07-15 10:30:00;2009-07-15 11:40:00;16_16;Borreguiles San Juan;33625;Polyommatus golgus (Hübner, 1813);5
39;2009-07-15 10:30:00;2009-07-15 11:40:00;16_16;Borreguiles San Juan;46341;Aricia morronensis (Ribbe, 1910);2
39;2009-07-15 10:30:00;2009-07-15 11:40:00;16_16;Borreguiles San Juan;46344;Erebia hispania Butler, 1868;2
39;2009-07-15 10:30:00;2009-07-15 11:40:00;16_16;Borreguiles San Juan;87249;Plebejus idas (Linnaeus, 1760);6
41;2009-07-27 10:30:00;2009-07-27 11:25:00;16_16;Borreguiles San Juan;46341;Aricia morronensis (Ribbe, 1910);2
41;2009-07-27 10:30:00;2009-07-27 11:25:00;16_16;Borreguiles San Juan;47430;Polyommatus escheri (Hübner, 1823);1
41;2009-07-27 10:30:00;2009-07-27 11:25:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);16
42;2009-06-25 11:20:00;2009-06-25 12:40:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);106
42;2009-06-25 11:20:00;2009-06-25 12:40:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);188
43;2009-06-29 10:20:00;2009-06-29 12:30:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);55
43;2009-06-29 10:20:00;2009-06-29 12:30:00;16_14;Laguna Seca;33625;Polyommatus golgus (Hübner, 1813);1
43;2009-06-29 10:20:00;2009-06-29 12:30:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);106
44;2009-07-06 10:05:00;2009-07-06 12:00:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);55
44;2009-07-06 10:05:00;2009-07-06 12:00:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);132
45;2009-07-16 11:05:00;2009-07-16 12:05:00;16_14;Laguna Seca;33089;Parnassius apollo (Linnaeus, 1758);6
45;2009-07-16 11:05:00;2009-07-16 12:05:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);1
45;2009-07-16 11:05:00;2009-07-16 12:05:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);9
46;2009-07-24 11:30:00;2009-07-24 00:00:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);37
46;2009-07-24 11:30:00;2009-07-24 00:00:00;16_14;Laguna Seca;87249;Plebejus idas (Linnaeus, 1760);3
46;2009-07-24 11:30:00;2009-07-24 00:00:00;16_14;Laguna Seca;91489;Pseudochazara mercurius (Staudinger, 1887);3
47;2009-07-29 11:30:00;2009-07-29 12:19:59;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);88
48;2009-08-07 11:00:00;2009-08-07 11:40:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);51
49;2009-08-10 12:06:00;2009-08-10 13:02:59;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);40
50;2009-08-05 10:30:00;2009-08-05 11:30:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);10
51;2009-08-04 10:30:00;2009-08-04 11:30:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);73
52;2009-08-14 11:20:00;2009-08-14 12:37:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);57
53;2009-08-18 10:10:00;2009-08-18 11:00:00;16_16;Borreguiles San Juan;81689;Satyrus actaea (Esper, 1781);1
54;2009-08-21 10:40:00;2009-08-21 11:40:00;16_17;Loma de Papeles Alto;81689;Satyrus actaea (Esper, 1781);4
55;2009-08-20 11:25:00;2009-08-20 12:30:00;16_14;Laguna Seca;81689;Satyrus actaea (Esper, 1781);27
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;46349;Zerynthia rumina (Linnaeus, 1758);2
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;46387;Cupido lorquinii (Herrich-Schäffer, 1850);1
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;59718;Aporia crataegi (Linnaeus, 1758);4
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;62290;Callophrys rubi (Linnaeus, 1758);2
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;64686;Coenonympha pamphilus lyllus (Esper, 1805);21
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;64788;Colias alfacariensis Ribbe, 1905;10
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;80394;Pseudophilotes abencerragus (Pierret, 1837);1
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;82903;Pararge aegeria (Linnaeus, 1758);1
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;84021;Pieris rapae (Linnaeus, 1758);2
57;2010-05-25 11:45:00;2010-05-25 13:00:00;16_20;Purche;87858;Vanessa cardui (Linnaeus, 1758);3
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;46651;Polyommatus nivescens (Keferstein, 1851);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;47431;Pontia daplidice (Linnaeus, 1758);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;47446;Pyronia bathseba (Fabricius, 1793);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;59718;Aporia crataegi (Linnaeus, 1758);58
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;64681;Coenonympha dorus (Esper, 1782);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;64788;Colias alfacariensis Ribbe, 1905;2
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;64789;Colias crocea (Geoffroy, 1785);56
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;67299;Hyponephele lupina (Costa, 1836);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;71277;Melanargia ines (Hoffmansegg, 1804);5
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;72485;Maniola jurtina (Linnaeus, 1758);40
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;80532;Polyommatus icarus (Rottemburg, 1775);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;84021;Pieris rapae (Linnaeus, 1758);3
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;87249;Plebejus idas (Linnaeus, 1760);1
58;2010-06-22 12:50:00;2010-06-22 13:30:00;16_20;Purche;87323;Plebejus argus (Linnaeus, 1758);12
59;2010-07-14 10:30:00;2010-07-14 11:45:00;16_20;Purche;47431;Pontia daplidice (Linnaeus, 1758);1
59;2010-07-14 10:30:00;2010-07-14 11:45:00;16_20;Purche;47446;Pyronia bathseba (Fabricius, 1793);5
59;2010-07-14 10:30:00;2010-07-14 11:45:00;16_20;Purche;59718;Aporia crataegi (Linnaeus, 1758);1
59;2010-07-14 10:30:00;2010-07-14 11:45:00;16_20;Purche;63468;Chazara briseis (Linnaeus, 1764);7
59;2010-07-14 10:30:00;2010-07-14 11:45:00;16_20;Purche;64686;Coenonympha pamphilus lyllus (Esper, 1805);13
