transecto,nombre_cientifico,y2012,y2013,y2014,y2015,y2016,y2017,y2019,y2020,y2018,longitud,min_altitu,max_altitu,id_transecto,site,elev,contactos,n_years_contacted
Barranco de San Juan,"Hyponephele lupina (Costa, 1836)",0,1,0,0,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Hyponephele lycaon (Kühn, 1774)",3,12,1,2,0,0,1,0,0,453,1347,1377,16_33,BSJ,1362,19,5
Barranco de San Juan,"Iphiclides feisthamelii (Duponchel, 1832)",0,5,0,3,2,8,1,3,0,453,1347,1377,16_33,BSJ,1362,22,6
Barranco de San Juan,"Issoria lathonia (Linnaeus, 1758)",1,4,0,0,4,6,1,1,0,453,1347,1377,16_33,BSJ,1362,17,6
Barranco de San Juan,"Lampides boeticus (Linnaeus, 1767)",0,3,0,0,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,3,1
Barranco de San Juan,"Lasiommata maera (Linnaeus, 1758)",0,0,0,0,0,0,0,1,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Lasiommata megera (Linnaeus, 1767)",3,3,4,4,4,6,5,7,0,453,1347,1377,16_33,BSJ,1362,36,8
Barranco de San Juan,"Leptotes pirithous (Linnaeus, 1767)",0,0,0,0,0,3,0,0,0,453,1347,1377,16_33,BSJ,1362,3,1
Barranco de San Juan,"Lycaena alciphron (Rottemburg, 1775)",2,1,0,0,0,2,1,0,0,453,1347,1377,16_33,BSJ,1362,6,4
Barranco de San Juan,"Lycaena phlaeas (Linnaeus, 1760)",10,12,4,5,19,36,12,9,0,453,1347,1377,16_33,BSJ,1362,107,8
Barranco de San Juan,"Lysandra bellargus (Rottemburg, 1775)",0,0,0,0,0,0,0,1,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Maniola jurtina (Linnaeus, 1758)",0,1,1,0,3,2,0,2,0,453,1347,1377,16_33,BSJ,1362,9,5
Barranco de San Juan,"Melanargia ines (Hoffmansegg, 1804)",0,1,0,0,1,4,2,2,0,453,1347,1377,16_33,BSJ,1362,10,5
Barranco de San Juan,"Melanargia lachesis (Hübner, 1790)",11,84,60,2,13,9,15,19,0,453,1347,1377,16_33,BSJ,1362,213,8
Barranco de San Juan,"Melanargia occitanica (Esper, 1793)",0,0,0,0,0,0,1,0,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Melitaea athalia (Rottemburg, 1775)",0,0,0,0,0,3,0,1,0,453,1347,1377,16_33,BSJ,1362,4,2
Barranco de San Juan,"Melitaea deione (Geyer, 1832)",0,11,10,3,4,1,0,2,0,453,1347,1377,16_33,BSJ,1362,31,6
Barranco de San Juan,"Melitaea didyma (Esper, 1778)",0,0,0,0,0,1,1,0,0,453,1347,1377,16_33,BSJ,1362,2,2
Barranco de San Juan,"Melitaea phoebe ([Denis & Schiffermüller], 1775)",1,0,8,7,9,7,5,11,0,453,1347,1377,16_33,BSJ,1362,48,7
Barranco de San Juan,"Melitaea trivia ([Denis & Schiffermüller], 1775)",2,0,5,0,0,1,0,4,0,453,1347,1377,16_33,BSJ,1362,12,4
Barranco de San Juan,"Nymphalis polychloros (Linnaeus, 1758)",1,0,1,0,0,0,1,1,0,453,1347,1377,16_33,BSJ,1362,4,4
Barranco de San Juan,"Papilio machaon Linnaeus, 1758",0,1,0,0,0,1,1,0,0,453,1347,1377,16_33,BSJ,1362,3,3
Barranco de San Juan,"Pararge aegeria (Linnaeus, 1758)",0,0,0,0,1,2,3,1,0,453,1347,1377,16_33,BSJ,1362,7,4
Barranco de San Juan,"Pieris brassicae (Linnaeus, 1758)",0,0,1,0,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Pieris napi (Linnaeus, 1758)",1,0,0,0,0,4,0,0,0,453,1347,1377,16_33,BSJ,1362,5,2
Barranco de San Juan,"Pieris rapae (Linnaeus, 1758)",0,61,11,15,13,21,15,36,0,453,1347,1377,16_33,BSJ,1362,172,7
Barranco de San Juan,"Plebejus argus (Linnaeus, 1758)",13,20,39,0,4,39,11,6,0,453,1347,1377,16_33,BSJ,1362,132,7
Barranco de San Juan,"Plebejus idas (Linnaeus, 1760)",0,0,0,1,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Polygonia c-album (Linnaeus, 1758)",0,0,1,0,0,1,0,0,0,453,1347,1377,16_33,BSJ,1362,2,2
Barranco de San Juan,"Polyommatus amandus (Schneider, 1792)",0,0,3,0,0,5,0,2,0,453,1347,1377,16_33,BSJ,1362,10,3
Barranco de San Juan,"Polyommatus celina (Austaut, 1879)",0,1,0,7,2,0,3,30,0,453,1347,1377,16_33,BSJ,1362,43,5
Barranco de San Juan,"Polyommatus icarus (Rottemburg, 1775)",0,0,0,0,2,8,2,0,0,453,1347,1377,16_33,BSJ,1362,12,3
Barranco de San Juan,"Polyommatus nivescens (Keferstein, 1851)",0,0,0,1,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Pontia daplidice (Linnaeus, 1758)",5,6,0,5,7,7,1,1,0,453,1347,1377,16_33,BSJ,1362,32,7
Barranco de San Juan,"Pseudophilotes abencerragus (Pierret, 1837)",0,2,0,0,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,2,1
Barranco de San Juan,"Pyronia bathseba (Fabricius, 1793)",9,26,35,1,6,19,14,7,0,453,1347,1377,16_33,BSJ,1362,117,8
Barranco de San Juan,"Pyronia cecilia (Vallantin, 1894)",0,0,0,1,0,1,0,0,0,453,1347,1377,16_33,BSJ,1362,2,2
Barranco de San Juan,"Pyronia tithonus (Linnaeus, 1771)",0,0,2,0,0,1,0,0,0,453,1347,1377,16_33,BSJ,1362,3,2
Barranco de San Juan,"Satyrium esculi (Hübner, 1804)",0,0,0,0,0,0,0,1,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Satyrus actaea (Esper, 1781)",0,6,1,0,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,7,2
Barranco de San Juan,"Spialia sertorius (Hoffmansegg, 1804)",0,0,0,1,0,0,0,0,0,453,1347,1377,16_33,BSJ,1362,1,1
Barranco de San Juan,"Thymelicus acteon (Rottemburg, 1775)",0,0,0,0,0,0,0,27,0,453,1347,1377,16_33,BSJ,1362,27,1
Barranco de San Juan,"Thymelicus lineola (Ochsenheimer, 1808)",0,0,0,0,0,8,0,7,0,453,1347,1377,16_33,BSJ,1362,15,2
Barranco de San Juan,"Thymelicus sylvestris (Poda, 1761)",0,0,62,1,4,17,54,5,0,453,1347,1377,16_33,BSJ,1362,143,6
Barranco de San Juan,"Vanessa atalanta (Linnaeus, 1758)",1,0,1,0,1,1,0,0,0,453,1347,1377,16_33,BSJ,1362,4,4
Barranco de San Juan,"Vanessa cardui (Linnaeus, 1758)",2,2,1,4,0,3,1,2,0,453,1347,1377,16_33,BSJ,1362,15,7
Barranco de San Juan,"Zerynthia rumina (Linnaeus, 1758)",1,1,1,0,0,1,0,0,0,453,1347,1377,16_33,BSJ,1362,4,4
Borreguiles San Juan,"Aglais urticae (Linnaeus, 1758)",35,33,17,5,3,29,12,16,0,2533,2527,2563,16_16,BOSJ,2545,150,8
Borreguiles San Juan,"Argynnis pandora ([Denis & Schiffermüller], 1775)",0,0,1,0,1,4,0,3,0,2533,2527,2563,16_16,BOSJ,2545,9,4
Borreguiles San Juan,"Aricia cramera (Eschscholtz, 1821)",1,0,4,0,0,0,1,1,0,2533,2527,2563,16_16,BOSJ,2545,7,4
Borreguiles San Juan,"Aricia montensis Verity, 1928",0,1,4,4,0,0,2,5,0,2533,2527,2563,16_16,BOSJ,2545,16,5
Borreguiles San Juan,"Aricia morronensis (Ribbe, 1910)",0,0,0,2,3,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,5,2
Borreguiles San Juan,"Brintesia circe (Fabricius, 1775)",0,0,0,0,1,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,1,1
Borreguiles San Juan,"Colias alfacariensis Ribbe, 1905",1,0,0,0,0,8,0,0,0,2533,2527,2563,16_16,BOSJ,2545,9,2
Borreguiles San Juan,"Colias crocea (Geoffroy, 1785)",43,31,23,18,22,36,6,62,0,2533,2527,2563,16_16,BOSJ,2545,241,8
Borreguiles San Juan,"Cyaniris semiargus (Rottemburg, 1775)",0,1,0,0,0,0,0,1,0,2533,2527,2563,16_16,BOSJ,2545,2,2
Borreguiles San Juan,"Erebia hispania Butler, 1868",28,14,40,14,41,43,75,29,0,2533,2527,2563,16_16,BOSJ,2545,284,8
Borreguiles San Juan,"Fabriciana niobe (Linnaeus, 1758)",20,2,0,0,5,5,3,1,0,2533,2527,2563,16_16,BOSJ,2545,36,6
Borreguiles San Juan,"Hesperia comma (Linnaeus, 1758)",0,0,5,2,1,16,9,17,0,2533,2527,2563,16_16,BOSJ,2545,50,6
Borreguiles San Juan,"Hipparchia hermione (Linnaeus, 1764)",3,1,0,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,4,2
Borreguiles San Juan,"Hyponephele lupina (Costa, 1836)",0,13,0,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,13,1
Borreguiles San Juan,"Hyponephele lycaon (Kühn, 1774)",23,1,14,63,0,0,9,0,0,2533,2527,2563,16_16,BOSJ,2545,110,5
Borreguiles San Juan,"Issoria lathonia (Linnaeus, 1758)",4,9,5,5,2,5,8,0,0,2533,2527,2563,16_16,BOSJ,2545,38,7
Borreguiles San Juan,"Lampides boeticus (Linnaeus, 1767)",2,1,0,0,0,4,2,0,0,2533,2527,2563,16_16,BOSJ,2545,9,4
Borreguiles San Juan,"Lasiommata maera (Linnaeus, 1758)",0,0,3,0,1,0,2,0,0,2533,2527,2563,16_16,BOSJ,2545,6,3
Borreguiles San Juan,"Lasiommata megera (Linnaeus, 1767)",9,13,0,1,6,15,15,7,0,2533,2527,2563,16_16,BOSJ,2545,66,7
Borreguiles San Juan,"Lycaena alciphron (Rottemburg, 1775)",5,2,3,8,15,6,13,11,0,2533,2527,2563,16_16,BOSJ,2545,63,8
Borreguiles San Juan,"Lycaena phlaeas (Linnaeus, 1760)",2,0,6,3,1,3,6,4,0,2533,2527,2563,16_16,BOSJ,2545,25,7
Borreguiles San Juan,"Melanargia lachesis (Hübner, 1790)",1,1,0,0,0,1,0,0,0,2533,2527,2563,16_16,BOSJ,2545,3,3
Borreguiles San Juan,"Melitaea athalia (Rottemburg, 1775)",0,2,0,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,2,1
Borreguiles San Juan,"Melitaea deione (Geyer, 1832)",0,0,2,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,2,1
Borreguiles San Juan,"Melitaea parthenoides Keferstein, 1851",0,0,0,5,1,17,6,4,0,2533,2527,2563,16_16,BOSJ,2545,33,5
Borreguiles San Juan,"Melitaea phoebe ([Denis & Schiffermüller], 1775)",0,0,3,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,3,1
Borreguiles San Juan,"Nymphalis polychloros (Linnaeus, 1758)",1,0,0,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,1,1
Borreguiles San Juan,"Pararge aegeria (Linnaeus, 1758)",1,0,0,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,1,1
Borreguiles San Juan,"Parnassius apollo (Linnaeus, 1758)",6,19,54,46,91,79,9,4,0,2533,2527,2563,16_16,BOSJ,2545,308,8
Borreguiles San Juan,"Pieris brassicae (Linnaeus, 1758)",1,0,0,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,1,1
Borreguiles San Juan,"Pieris rapae (Linnaeus, 1758)",0,5,2,0,3,7,3,10,0,2533,2527,2563,16_16,BOSJ,2545,30,6
Borreguiles San Juan,"Plebejus argus (Linnaeus, 1758)",1,1,0,0,0,0,0,4,0,2533,2527,2563,16_16,BOSJ,2545,6,3
Borreguiles San Juan,"Plebejus idas (Linnaeus, 1760)",4,1,2,0,0,0,5,5,0,2533,2527,2563,16_16,BOSJ,2545,17,5
Borreguiles San Juan,"Polygonia c-album (Linnaeus, 1758)",0,0,0,0,1,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,1,1
Borreguiles San Juan,"Polyommatus celina (Austaut, 1879)",0,0,0,3,2,36,18,9,0,2533,2527,2563,16_16,BOSJ,2545,68,5
Borreguiles San Juan,"Polyommatus escheri (Hübner, 1823)",5,18,26,21,21,57,58,26,0,2533,2527,2563,16_16,BOSJ,2545,232,8
Borreguiles San Juan,"Polyommatus golgus (Hübner, 1813)",5,4,9,0,8,33,28,12,0,2533,2527,2563,16_16,BOSJ,2545,99,7
Borreguiles San Juan,"Polyommatus icarus (Rottemburg, 1775)",5,6,19,10,8,5,97,40,0,2533,2527,2563,16_16,BOSJ,2545,190,8
Borreguiles San Juan,"Polyommatus thersites (Cantener, 1835)",0,10,2,0,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,12,2
Borreguiles San Juan,"Pontia daplidice (Linnaeus, 1758)",7,5,5,0,10,12,8,4,0,2533,2527,2563,16_16,BOSJ,2545,51,7
Borreguiles San Juan,"Pseudochazara mercurius (Staudinger, 1887)",0,0,0,0,0,1,0,0,0,2533,2527,2563,16_16,BOSJ,2545,1,1
Borreguiles San Juan,"Satyrus actaea (Esper, 1781)",101,65,88,54,38,97,28,34,0,2533,2527,2563,16_16,BOSJ,2545,505,8
Borreguiles San Juan,"Speyeria aglaja (Linnaeus, 1758)",1,2,3,11,0,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,17,4
Borreguiles San Juan,"Vanessa atalanta (Linnaeus, 1758)",0,1,0,0,2,0,0,0,0,2533,2527,2563,16_16,BOSJ,2545,3,2
Borreguiles San Juan,"Vanessa cardui (Linnaeus, 1758)",6,9,2,18,3,3,192,4,0,2533,2527,2563,16_16,BOSJ,2545,237,8
Campos de Otero,"Aglais urticae (Linnaeus, 1758)",51,550,283,148,172,68,115,53,0,2992,2178,2317,16_24,CO,2248,1440,8
Campos de Otero,"Anthocharis cardamines (Linnaeus, 1758)",0,0,0,0,0,1,1,0,0,2992,2178,2317,16_24,CO,2248,2,2
Campos de Otero,"Anthocharis euphenoides Staudinger, 1869",1,0,2,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,3,2
Campos de Otero,"Argynnis pandora ([Denis & Schiffermüller], 1775)",1,6,3,0,2,6,5,3,0,2992,2178,2317,16_24,CO,2248,26,7
Campos de Otero,"Aricia cramera (Eschscholtz, 1821)",0,0,1,0,1,2,0,0,0,2992,2178,2317,16_24,CO,2248,4,3
Campos de Otero,"Aricia montensis Verity, 1928",0,0,0,0,0,3,1,0,0,2992,2178,2317,16_24,CO,2248,4,2
Campos de Otero,"Aricia morronensis (Ribbe, 1910)",0,0,0,0,0,1,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Brintesia circe (Fabricius, 1775)",0,3,1,1,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,5,3
Campos de Otero,"Carcharodus baeticus (Rambur, 1839)",3,0,3,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,6,2
Campos de Otero,"Celastrina argiolus (Linnaeus, 1758)",0,0,0,0,1,0,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
Campos de Otero,"Chazara briseis (Linnaeus, 1764)",0,0,4,0,0,0,0,0,0,2992,2178,2317,16_24,CO,2248,4,1
Campos de Otero,"Coenonympha dorus (Esper, 1782)",0,0,0,0,1,0,0,0,0,2992,2178,2317,16_24,CO,2248,1,1
